sampleid,locid,substrate,batid,species,year,repro,use,dfresh,dmarine,dforcore,elev,slope,aspect,bldg060,bldg090,bldg120,bldg150,bldg180,bldg210,bldg240,bldg270,bldg300,bldg330,bldg360,road060,road090,road120,road150,road180,road210,road240,road270,road300,road330,road360,ptcc060,ptcc090,ptcc120,ptcc150,ptcc180,ptcc210,ptcc240,ptcc270,ptcc300,ptcc330,ptcc360,pdev060,pdev090,pdev120,pdev150,pdev180,pdev210,pdev240,pdev270,pdev300,pdev330,pdev360,pfor060,pfor090,pfor120,pfor150,pfor180,pfor210,pfor240,pfor270,pfor300,pfor330,pfor360,pgra060,pgra090,pgra120,pgra150,pgra180,pgra210,pgra240,pgra270,pgra300,pgra330,pgra360,pwet060,pwet090,pwet120,pwet150,pwet180,pwet210,pwet240,pwet270,pwet300,pwet330,pwet360
760,R008,Bldg,MYSE.960,MYSE,2015,0,0,112.558885,1431.44548,105.745518,16,0,0.54,1.768388257,4.32272685,3.978873577,3.253834392,3.635020304,3.753313851,3.64730078,3.798759959,3.642879809,3.653694745,3.684142201,414.9415616,184.4184718,103.7353904,176.0943725,161.9092655,193.7140315,163.2512521,158.518074,130.9216476,113.2122247,119.0539504,56.454545,55.357143,56.938776,57.746835,56.141593,54.487013,54.246231,NA,NA,NA,NA,0.632282,0.666453,0.688685,0.722451,0.75585,0.778114,0.770912,0.761399,0.750051,0.742597,0.73107,0.367718,0.333547,0.311315,0.277549,0.24415,0.221886,0.229088,0.238389,0.248442,0.252647,0.258734,0,0,0,0,0,0,0,0.000212,0.001507,0.004755,0.010196,0,0,0,0,0,0,0,0,0,0,0
761,R008,Bldg,MYSE.960,MYSE,2015,0,0,364.158732,1357.461242,98.181173,13,0,0.54,6.1893589,5.894627523,6.189358898,5.800313481,5.206920976,5.052537877,4.91832984,4.890357649,4.420970642,4.15059723,4.101678317,413.3291259,461.6272211,259.6653119,290.9637601,202.0581667,159.1507503,150.3677957,134.9050839,113.5458544,116.0004057,101.2730772,45.846154,45.896552,46.568627,46.797468,48.160714,48.681818,48.722772,NA,NA,NA,NA,1,0.995924,0.974657,0.942489,0.879925,0.825063,0.777048,0.729051,0.667366,0.618882,0.580738,0,0.004076,0.025344,0.057511,0.120075,0.174937,0.221133,0.252729,0.286908,0.310874,0.329723,0,0,0,0,0,0,0.001818,0.01469,0.031367,0.049864,0.065304,0,0,0,0,0,0.000178,0.018697,0.03413,0.061294,0.083046,0.095801
762,R008,Bldg,MYSE.960,MYSE,2015,0,0,28.863605,189.567564,1213.259713,4,0,0.54,4.420970643,4.32272685,5.30516477,5.800313481,6.287602689,6.207403677,5.802523968,5.501652355,4.845383823,4.764417947,4.371848745,716.4165474,318.4073544,255.5884999,171.7527418,167.6252081,145.8017814,158.4288293,138.5292798,138.2126618,118.945564,122.0331452,24.272727,27.481481,29.191489,28.906667,27.531532,26.677852,26.482412,NA,NA,NA,NA,0.542881,0.651705,0.658025,0.640791,0.61901,0.619892,0.64724,0.675203,0.696142,0.711092,0.727635,0,0,0,0.000907,0.004892,0.01199,0.020569,0.027934,0.025912,0.022432,0.019693,0.457119,0.348295,0.341975,0.358302,0.371497,0.35037,0.304366,0.257156,0.227786,0.212297,0.196037,0,0,0,0.000907,0.009493,0.029739,0.048394,0.067641,0.076072,0.076611,0.076328
763,R008,Bldg,MYSE.960,MYSE,2015,0,0,231.043528,479.112994,1044.674866,9,0,0.54,5.305164771,6.287602691,5.30516477,4.810016058,4.813945808,4.691642314,4.642019175,4.934021556,4.845383823,4.998254411,5.18236003,658.7980735,358.6138499,201.7202905,129.1009859,167.9960385,163.8376863,159.2743103,159.7642959,147.3915413,143.4346172,154.5750454,43.75,44.481481,47.411765,46.753247,46.747748,45.174194,44.79,NA,NA,NA,NA,1,1,0.997061,0.966512,0.955368,0.960168,0.969543,0.976285,0.981073,0.982883,0.98222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001202,0.004175,0,0,0.002939,0.033488,0.044632,0.039832,0.030457,0.023715,0.018927,0.015915,0.013605
764,R008,Bldg,MYSE.960,MYSE,2015,0,0,138.023933,1270.833114,242.750151,13,0,0.54,7.957747157,6.287602691,5.747261834,5.51737136,4.813945808,4.619463202,4.255184243,4.497382481,4.244131816,4.325974578,4.371848745,505.6583743,377.1680389,212.1570218,161.0389677,181.6516487,184.5824672,152.7113184,133.4729206,137.5837125,152.9019224,154.3286724,37.636364,44.035714,45.244898,46.384615,46.75,47.359477,47.849246,NA,NA,NA,NA,1,1,1,0.990267,0.938969,0.881775,0.841001,0.80194,0.777708,0.774065,0.779953,0,0,0,0.009732,0.061031,0.1165,0.151313,0.183221,0.202708,0.207367,0.204174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001726,0.007687,0.01484,0.019584,0.018568,0.015873
765,R008,Bldg,MYSE.960,MYSE,2015,0,0,886.962561,338.7872,639.933789,9,0,0.54,3.536776514,4.32272685,3.978873577,3.819718634,3.536776512,3.681134739,3.481514381,3.929751682,4.06729299,4.209056346,4.224483057,262.8212407,289.1304533,224.9837057,204.8640962,249.1796649,187.291841,180.4402354,152.7574577,131.2084396,133.5372789,139.4064819,37.857143,35.357143,34.88,38.175,40.973684,42.155844,43.328283,NA,NA,NA,NA,1,1,0.983884,0.91688,0.845343,0.787265,0.739512,0.711762,0.693441,0.686562,0.694854,0,0,0.000582,0.031711,0.071049,0.10456,0.134804,0.164298,0.175291,0.176975,0.168864,0,0,0.015534,0.051409,0.083608,0.099177,0.100076,0.088662,0.086586,0.096685,0.101787,0,0,0,0.002596,0.023631,0.052772,0.081818,0.104242,0.116912,0.116472,0.113878
766,R008,Bldg,MYSE.960,MYSE,2015,0,0,495.26113,683.09365,651.273582,8,0,0.54,4.420970643,4.715702018,4.420970642,4.668544997,4.519214432,4.908179652,4.642019175,4.715702018,4.986854884,4.793647505,4.887628654,338.3476407,264.2808097,209.9237885,167.0335474,190.7264453,184.5222557,166.3955389,181.9917995,192.1232616,191.481207,179.4435726,27.384615,33.103448,36.72,35.962963,35.456897,35.396104,35.472637,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,R008,Bldg,MYSE.960,MYSE,2015,0,0,360.239242,722.977925,298.98674,16,0,0.54,4.420970643,4.32272685,3.536776513,3.253834392,2.94731376,2.959343614,3.039417317,2.969145715,2.970892271,2.952185354,2.849069969,73.21558574,254.6948564,209.7274003,183.5406469,127.4587826,103.9125453,140.0901323,148.4207852,153.4254627,148.2214435,147.0613245,70.923077,66.481481,58.3,57.051948,56.25,57.677419,56.325,NA,NA,NA,NA,0.97811,0.926747,0.905073,0.846654,0.798995,0.768449,0.736742,0.709586,0.682122,0.657925,0.63531,0.02189,0.073253,0.094927,0.153346,0.199746,0.224005,0.247144,0.26913,0.294424,0.316624,0.335407,0,0,0,0,0.001259,0.007546,0.016114,0.021284,0.023454,0.025451,0.025816,0,0,0.003926,0.021847,0.052761,0.073234,0.083548,0.083987,0.085351,0.083398,0.09279
768,R008,Bldg,MYSE.960,MYSE,2015,0,0,174.787887,894.557192,794.11295,12,10.02,0.53,2.652582386,3.536776514,2.431533853,2.68795015,2.259607216,2.381910713,2.155223188,1.921211933,1.945227082,1.929150825,2.013997737,892.0535497,396.4682443,360.205611,297.7376122,206.7622306,151.906945,128.8494525,109.5785582,121.6817444,105.3018554,141.7055732,44.428571,46.107143,48.12,50.7125,51.284483,50.365385,49.345,NA,NA,NA,NA,0.999399,0.895292,0.741933,0.631799,0.595194,0.565446,0.552172,0.542078,0.542104,0.540473,0.528687,0,0.088967,0.204155,0.301191,0.34229,0.384175,0.401914,0.415977,0.413641,0.40635,0.40149,0,0,0,0,0,0,0,0,0,0,0,0.000601,0.015741,0.054071,0.085184,0.106675,0.119991,0.13475,0.134976,0.137952,0.147539,0.163293
769,R008,Bldg,MYSE.960,MYSE,2015,0,0,98.953335,1117.798697,276.637022,6,0,0.54,1.768388257,1.178925505,0.884194128,0.565884242,0.589462752,0.721791125,0.718407729,0.742286429,0.778090833,0.847657181,0.785950336,120.0522339,135.2975808,76.10488917,48.70712906,33.82439518,24.85057606,72.43872326,64.6886175,62.39722614,73.44203293,61.71170823,51.571429,52.75,53.88,54.481013,52.025862,49.455128,45.465347,NA,NA,NA,NA,0.243328,0.211073,0.167132,0.13345,0.122648,0.115582,0.112163,0.133426,0.151243,0.164986,0.183508,0.756672,0.74439,0.731782,0.739196,0.716296,0.719849,0.725291,0.707216,0.69661,0.684895,0.668599,0,0,0,0,0,0,0,0,0,0,0,0.70802,0.710825,0.726314,0.720037,0.7018,0.686021,0.664854,0.626984,0.589896,0.562454,0.534149
770,R008,Bldg,MYSE.960,MYSE,2015,0,0,81.969924,445.103061,642.71867,4,0,0.54,2.652582386,1.964875841,3.094679449,2.546479089,2.357851008,2.598448051,2.321009587,2.357851009,2.511111325,2.601430658,2.603460489,411.1139087,182.7172927,102.7784772,121.7771561,117.7713022,86.52585475,117.2478727,114.9557891,106.1740006,101.6383657,127.698801,16.333333,18.703704,17.431373,16.717949,16.918919,17.103896,17.39604,NA,NA,NA,NA,0.346361,0.376287,0.410936,0.425464,0.438967,0.451176,0.465998,0.482717,0.482321,0.47898,0.472662,0,0,0,0,0,0,0,0.003773,0.021072,0.036012,0.05437,0,0,0,0,0,0,0,0,0,0,0,0.653639,0.623713,0.589064,0.574536,0.561033,0.548824,0.534002,0.513838,0.502358,0.497554,0.497196
771,R008,Bldg,MYSE.960,MYSE,2015,0,0,248.930763,1391.000597,295.655997,15,0,0.54,6.1893589,4.715702018,4.863067706,5.092958179,4.519214432,4.258567639,3.868349312,3.886087775,3.748983104,3.507546955,3.659581253,192.2479572,209.1632838,208.8883568,167.5993736,190.7003873,210.6433041,236.7764438,195.5574334,158.401521,165.5340349,140.2462708,34.230769,30.555556,29.653061,29.935065,31.172727,32.694805,34.415,NA,NA,NA,NA,0.678199,0.615636,0.598615,0.694612,0.761873,0.798422,0.812935,0.815185,0.814716,0.802103,0.791102,0.321801,0.384364,0.401385,0.305388,0.238126,0.201578,0.187065,0.177649,0.170396,0.179585,0.181653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000827,0.007977,0.016745,0.031687,0.040125,0.039532,0.045386
772,R008,Bldg,MYSE.960,MYSE,2015,0,0,254.060152,619.97376,799.336044,8,0,0.54,4.420970643,4.32272685,3.978873577,3.961189694,3.635020304,3.464597401,4.310446377,4.191735128,4.491706172,4.29674502,4.44553159,252.5234481,440.1625532,247.5914361,229.4194262,169.6107934,143.2678398,141.2317082,175.4755048,174.5631598,177.6900516,162.8753251,47.142857,44.428571,46.5,49.8625,52.491071,51.974026,49.641414,NA,NA,NA,NA,1,1,1,0.98695,0.97411,0.969512,0.971341,0.976285,0.981073,0.984085,0.986395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01305,0.02589,0.030488,0.028659,0.023715,0.018927,0.015915,0.013605
773,R008,Bldg,MYSE.960,MYSE,2015,0,0,173.465222,560.615924,399.1454,12,0,0.54,3.536776514,3.536776514,3.094679449,3.395305452,3.143801344,3.320239176,3.039417317,2.838153993,3.076995567,2.922955796,2.726265229,995.7635341,621.3042235,372.0182395,281.8328271,252.1491151,259.7819879,224.8735103,185.0687861,162.6664203,145.8455682,135.9520307,27.333333,35.444444,40.081633,42.584416,42.690909,42.980263,43.5,NA,NA,NA,NA,0.88931,0.808262,0.78003,0.729013,0.723633,0.724338,0.725211,0.714867,0.70152,0.692535,0.677292,0.11069,0.191738,0.21997,0.270987,0.275284,0.261152,0.242688,0.229106,0.213074,0.208331,0.215677,0,0,0,0,0.001083,0.008274,0.020434,0.029349,0.036035,0.035828,0.031372,0.00095,0.007695,0.027188,0.040035,0.046769,0.056607,0.066738,0.08666,0.109922,0.119759,0.128504
774,R008,Bldg,MYSE.960,MYSE,2015,0,0,247.651614,1112.255369,302.106388,9,0,0.54,3.536776514,3.536776514,3.094679449,3.678247573,3.831507888,3.825492964,4.144659977,3.886087775,3.784350869,3.682924303,3.635020305,533.677477,368.8126071,220.2239316,196.1065144,233.8680944,171.8214572,137.0244274,148.0419547,126.8238872,135.3693009,149.8970546,52.285714,49.178571,47.6,46.759494,45.366071,45.863636,45.880597,NA,NA,NA,NA,0.97827,0.946737,0.921286,0.856741,0.851448,0.858594,0.84027,0.807635,0.773641,0.768756,0.780208,0.02173,0.053263,0.078714,0.143259,0.148552,0.141406,0.159474,0.18638,0.196365,0.189712,0.174929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101,0.005653,0.03111,0.05856,0.067421,0.072479
775,R008,Bldg,MYSE.960,MYSE,2015,0,0,556.477704,804.584964,449.982186,11,0,0.54,6.1893589,7.859503364,7.515650091,6.790610905,6.287602689,5.918687227,5.47095117,5.58898017,5.552739126,5.261320432,5.256042874,258.8890759,359.6895208,250.7688019,262.8417553,225.5937925,195.7852656,218.52469,229.7744659,199.4396088,196.090468,188.9908909,39.384615,37.586207,37.196078,37.282051,38.5625,38.435897,38.955446,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,R008,Bldg,MYSE.960,MYSE,2015,0,0,604.0232,828.571827,154.375888,10,0,0.54,4.420970643,5.501652355,4.642019174,4.810016058,4.519214432,4.691642314,5.084116239,4.759365926,4.880751589,4.822877063,4.69114107,522.8833269,312.4055469,365.4702057,245.7233478,284.2226912,228.967908,178.4269319,182.4036152,178.6993744,157.6548625,167.6943817,42.1,38.423077,36.395833,39.434211,39.063636,37.789474,37.52,NA,NA,NA,NA,1,1,0.991808,0.968493,0.950325,0.941446,0.941503,0.945424,0.943307,0.949677,0.954712,0,0,0.008192,0.031507,0.049675,0.058554,0.058497,0.054576,0.056693,0.050323,0.045288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,R008,Bldg,MYSE.960,MYSE,2015,0,0,300.919073,749.636709,322.195237,16,0,0.54,4.420970643,4.715702018,4.420970642,4.244131816,3.831507888,3.681134739,3.536776514,3.405784791,3.218466627,2.981414912,2.898191865,307.2139637,294.0661805,229.178917,206.3312313,179.9456715,132.2049832,161.1375482,147.89771,158.0150822,151.4289094,133.5486025,60.307692,54.137931,53.411765,52.551282,52.875,51.948052,51.514851,NA,NA,NA,NA,1,1,0.99012,0.979709,0.964253,0.93295,0.874754,0.822165,0.770963,0.74169,0.718208,0,0,0.00988,0.020291,0.035747,0.06705,0.125246,0.175922,0.222596,0.24707,0.266139,0,0,0,0,0,0,0,0.001914,0.006442,0.01124,0.014535,0,0,0,0,0,0.004319,0.019953,0.041796,0.058723,0.068408,0.075587
778,R008,Bldg,MYSE.960,MYSE,2015,0,0,207.573127,874.71086,200.209539,9,0,0.54,5.305164771,5.501652355,6.41040743,5.941784542,5.206920976,4.691642314,4.255184243,3.711432144,3.466040983,3.156792259,3.266606085,272.5742613,280.3210266,272.5809269,174.4517932,167.0406583,137.4430072,128.1246539,101.2342944,93.05139474,92.70774069,84.46243792,28.153846,25.793103,30.6,32.419753,33.078261,34.448718,34.59901,NA,NA,NA,NA,1,1,0.979508,0.8888,0.81249,0.745576,0.681606,0.645126,0.644705,0.664581,0.669838,0,0,0.008451,0.084295,0.150517,0.178526,0.199222,0.20508,0.196079,0.183386,0.179832,0,0,0,0,0,0,0,0.000002,0.003424,0.008433,0.014492,0,0,0.012114,0.071309,0.132367,0.197977,0.270349,0.31108,0.301331,0.275128,0.259321
779,R008,Bldg,MYSE.960,MYSE,2015,0,0,283.702955,1171.545733,266.703031,12,0,0.54,5.305164771,5.894627523,5.968310366,5.234429239,5.108677184,5.269075214,4.973591973,4.628374203,4.350235112,3.799842535,3.659581253,429.7420055,300.8287819,169.2161898,225.8936864,172.5434249,183.5623642,179.2000893,141.590194,136.3869488,124.9098371,104.9589604,56.692308,52.310345,50.693878,49.8625,48.495652,47.76129,47.811881,NA,NA,NA,NA,0.619287,0.690666,0.720709,0.744891,0.717436,0.66302,0.612351,0.541764,0.492307,0.471089,0.462208,0.380713,0.309334,0.279291,0.255109,0.282564,0.302716,0.332343,0.383732,0.419726,0.431119,0.434327,0,0,0,0,0,0.025999,0.045345,0.060535,0.068331,0.0708,0.068817,0,0,0,0.000402,0.006773,0.033426,0.049214,0.069225,0.096513,0.117935,0.132532
780,R008,Bldg,MYSE.960,MYSE,2015,0,0,287.089108,388.322814,529.505815,3,0,0.54,4.420970643,3.536776514,3.757825045,4.527073937,4.617458224,5.124716989,4.807805574,4.934021556,4.491706172,4.238285904,4.052556421,210.5657227,315.9319391,177.7117157,138.7547231,246.0108687,215.7990356,182.5143183,151.7593744,150.2179598,140.9126394,121.3228821,25.916667,32,33.54902,33.556962,33.460177,31.025974,29.635,NA,NA,NA,NA,1,1,1,1,0.996995,0.979799,0.933609,0.866889,0.799115,0.739372,0.677552,0,0,0,0,0.003005,0.020201,0.052474,0.084957,0.11379,0.143372,0.172217,0,0,0,0,0,0,0,0,0,0.000462,0.005662,0,0,0,0,0,0,0.013917,0.057353,0.111579,0.162751,0.21583
781,R008,Bldg,MYSE.960,MYSE,2015,0,0,26.576207,581.78982,721.293351,8,27.94,0.37,2.652582386,1.571900673,1.547339725,1.839123787,2.161363424,2.598448051,2.707844519,3.012809623,2.935524506,3.039874028,3.094679449,173.2351431,76.99339693,43.30878577,80.24420746,137.0659179,117.0877082,89.64527661,80.60749987,107.079332,129.7868455,128.6415871,48.25,47.65625,46.596154,45.5625,45.192982,45.311688,46.793269,NA,NA,NA,NA,0.314498,0.278911,0.310032,0.383366,0.430465,0.487335,0.500294,0.501318,0.525694,0.548437,0.570906,0.685502,0.721089,0.689968,0.615266,0.558102,0.477269,0.428917,0.415952,0.397849,0.385677,0.369792,0,0,0,0,0,0,0,0,0.00037,0.003386,0.00657,0.270954,0.241165,0.175939,0.107951,0.088788,0.09982,0.123215,0.128302,0.126254,0.126361,0.125237
782,R008,Bldg,MYSE.960,MYSE,2015,0,0,70.058787,1527.878779,440.256199,7,0,0.54,3.536776514,2.750826177,3.536776513,3.536776513,3.242045136,3.320239176,3.205203716,3.405784791,3.536776513,3.624465187,3.757825045,0,124.3334206,69.93754907,100.995147,163.1932486,150.3420559,130.6014728,133.4093581,154.8574326,142.2648282,147.3030263,50.833333,50.714286,53.42,52.448718,49.292035,46.961039,45.13,NA,NA,NA,NA,0,0.028613,0.107534,0.273042,0.410182,0.529165,0.635382,0.70351,0.73098,0.743324,0.745868,1,0.971387,0.892466,0.726958,0.589818,0.470835,0.364618,0.29649,0.26902,0.253364,0.242242,0,0,0,0,0,0,0,0,0,0.003313,0.01189,0,0,0,0,0,0,0,0,0,0,0
783,R008,Bldg,MYSE.960,MYSE,2015,0,0,107.915166,927.992244,485.063839,15,0,0.54,4.420970643,3.929751682,4.19992211,4.102660755,3.733264096,3.608955626,3.370990115,3.187465253,3.183098862,3.390628723,3.463093669,306.1432828,281.044116,158.0873152,101.1758817,174.6089487,176.8812638,167.7118904,158.6840759,136.2129172,117.5726882,123.0930137,60.545455,56.214286,54.836735,53.350649,52.336283,50.456954,48.721393,NA,NA,NA,NA,0.960487,0.862232,0.765529,0.747993,0.754126,0.76473,0.766057,0.763473,0.763952,0.755594,0.74345,0.039513,0.137768,0.234471,0.252007,0.245874,0.227326,0.212397,0.192354,0.180035,0.19146,0.207882,0,0,0,0,0,0,0,0,0,0,0,0.039513,0.107495,0.14563,0.132638,0.115839,0.103541,0.09626,0.103915,0.104506,0.093897,0.083266
784,R008,Bldg,MYSE.960,MYSE,2015,0,0,505.050847,269.123197,880.999426,11,0,0.54,5.305164771,5.108677186,4.642019174,4.385602876,4.027995472,4.402925864,4.36570851,4.497382481,4.491706172,4.501351926,4.224483057,403.572474,323.399889,232.3923228,226.5985197,180.655067,179.4446032,174.3363263,157.8396895,132.3836271,130.7345937,135.2367547,22.214286,25.071429,29.6,33.189873,34.122807,34.219355,34.212871,NA,NA,NA,NA,1,1,0.989634,0.950777,0.911874,0.876472,0.836111,0.819801,0.818252,0.819801,0.821712,0,0,0.010366,0.049223,0.079544,0.113408,0.121462,0.110634,0.097901,0.093311,0.090621,0,0,0,0,0.008582,0.01012,0.040083,0.059791,0.062815,0.062794,0.062637,0,0,0.010366,0.049223,0.079544,0.113408,0.123806,0.120408,0.118934,0.117405,0.115652
785,R008,Bldg,MYSE.960,MYSE,2015,0,0,429.313209,971.560972,135.931373,11,0,0.54,7.073553028,5.894627523,5.30516477,4.527073937,4.519214432,3.897672076,4.255184243,4.104407312,4.208764051,4.29674502,4.470092538,125.4371941,451.7427329,254.1052872,176.055376,146.3791832,217.2723728,172.1533912,165.2433043,172.7095277,178.465962,191.7851126,37.25,29.966667,32.884615,36.759494,38.634783,40.290323,41.460784,NA,NA,NA,NA,1,0.974605,0.94497,0.930072,0.927796,0.93482,0.934502,0.936177,0.933946,0.931203,0.923644,0,0.025395,0.05503,0.069928,0.072204,0.06518,0.065498,0.063823,0.066054,0.068797,0.076356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,R008,Bldg,MYSE.960,MYSE,2015,0,0,58.73874,1318.348034,265.415133,10,0,0.54,3.536776514,1.964875841,1.768388257,2.546479089,3.340288928,3.608955626,3.757825046,4.017079497,3.92582193,3.829072092,3.684142201,0,0,47.30459785,98.40073967,113.3726265,105.9906824,154.5044626,133.7868282,120.0372981,145.2760091,160.7304534,48.916667,49.821429,53.367347,55.935897,57.594595,58.392157,58.271357,NA,NA,NA,NA,0.071472,0.254884,0.415142,0.460563,0.481073,0.509001,0.553588,0.605606,0.640242,0.656099,0.673029,0.928528,0.745116,0.584858,0.539437,0.518927,0.490999,0.446412,0.394394,0.359758,0.339204,0.31773,0,0,0,0,0,0,0,0,0,0.004696,0.008838,0,0,0,0.011044,0.018048,0.020974,0.021774,0.020264,0.02004,0.016854,0.014902
787,R008,Bldg,MYSE.960,MYSE,2015,0,0,258.549418,396.912197,464.471797,7,0,0.54,4.420970643,4.32272685,3.978873577,3.536776513,3.831507888,3.464597401,3.426252248,3.755096052,3.748983104,3.887531208,3.880629785,210.5657227,312.5561465,355.5802627,227.5713681,192.651169,191.7887582,174.918456,138.2071751,126.193846,128.1716609,119.0535644,37.153846,39.896552,42.745098,41.113924,38.633929,36.051948,35.287129,NA,NA,NA,NA,1,1,0.976843,0.897879,0.841015,0.801565,0.758814,0.740166,0.741772,0.723553,0.688182,0,0,0.022285,0.086689,0.130224,0.163488,0.204753,0.222049,0.216,0.219934,0.231285,0,0,0,0,0,0,0,0,0.000463,0.006051,0.012913,0,0,0.000872,0.022172,0.051841,0.072186,0.09275,0.113095,0.121951,0.131849,0.162267
788,R008,Bldg,MYSE.960,MYSE,2015,0,0,259.610993,1525.369174,599.179552,12,21.57,-0.87,5.305164771,5.108677186,4.642019174,4.102660755,3.831507888,3.897672076,3.757825046,3.624104329,3.572144279,3.419858281,3.512215565,188.1627562,111.3732513,180.9152152,191.2463212,168.4765204,175.1212223,135.5093372,164.7562525,184.7980247,167.7700258,144.2542214,49.846154,42.535714,42.647059,39.225,37.982759,38.045161,38.247525,NA,NA,NA,NA,0.371993,0.557913,0.605542,0.666666,0.713909,0.747271,0.767409,0.769458,0.760776,0.756845,0.763434,0.628007,0.442086,0.394458,0.333334,0.286091,0.252729,0.232591,0.230542,0.239224,0.243155,0.236566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017061,0.055651,0.059042,0.052589,0.040609,0.033566,0.03677,0.040222,0.037397
789,R008,Bldg,MYSE.960,MYSE,2015,0,0,337.144266,733.909966,170.772608,9,0,0.54,7.957747157,7.466528196,4.863067706,4.244131816,3.635020304,3.103701839,2.928893051,2.750826177,3.041627802,3.419858281,3.389410825,297.1074472,390.0727597,219.4159273,140.4261935,97.51818989,71.64601709,102.6644455,131.493272,161.6751354,151.3915006,147.6640552,36.583333,44.692308,52.784314,57.936709,61.267857,63.122581,62.808081,NA,NA,NA,NA,0.687809,0.651626,0.604224,0.505154,0.484062,0.499233,0.509793,0.529841,0.537378,0.543753,0.540803,0.023993,0.17596,0.293735,0.387643,0.41483,0.415434,0.421549,0.402578,0.384304,0.373711,0.365368,0.288199,0.172414,0.102041,0.061728,0.044248,0.033557,0.028049,0.035961,0.053081,0.061184,0.062893,0.022976,0.106539,0.16573,0.252828,0.236295,0.192715,0.147208,0.114625,0.091483,0.077741,0.08323
790,R008,Bldg,MYSE.960,MYSE,2015,0,0,311.529751,731.570068,304.044567,15,0,0.54,5.305164771,4.32272685,4.19992211,3.819718634,3.92975168,3.392418289,3.260465849,3.187465253,3.112363332,2.893726238,2.750826177,307.2139637,294.0661805,209.7274003,175.0362181,179.9456715,132.2049832,161.1375482,176.8338837,143.2354458,140.1908958,140.0455336,65.454545,56.714286,53.12,53.564103,52.946903,52.545455,52.895,NA,NA,NA,NA,1,0.985021,0.970349,0.960114,0.933,0.893699,0.83554,0.794392,0.747494,0.713277,0.690548,0,0.014979,0.029651,0.039886,0.067,0.106301,0.162439,0.198508,0.240413,0.270784,0.287894,0,0,0,0,0,0,0.002021,0.0071,0.012093,0.015598,0.01801,0,0,0,0,0.003524,0.017401,0.035671,0.05566,0.067284,0.07602,0.083195
791,R008,Bldg,MYSE.960,MYSE,2015,0,0,920.637622,35.300016,996.500574,6,0,0.54,8.841941285,6.287602691,5.526213302,5.092958179,4.42097064,4.186388526,4.144659977,3.798759959,3.466040983,3.273710491,3.119240397,169.9689177,109.1254471,150.7783408,177.5669526,123.3103837,110.7296494,113.1052114,103.5174827,98.48419234,86.12062656,79.0257813,15,14.107143,13.6,13.987342,14.189189,15.677419,17.19598,NA,NA,NA,NA,0,0.053694,0.130906,0.237988,0.277805,0.290716,0.299969,0.332354,0.354111,0.373899,0.39926,0.243845,0.306949,0.271402,0.197596,0.173681,0.179988,0.207384,0.208138,0.207721,0.203856,0.201997,0.756154,0.639357,0.597692,0.546812,0.507131,0.464197,0.415772,0.377731,0.357953,0.350114,0.336879,0.243845,0.306949,0.271402,0.2152,0.202094,0.205346,0.214522,0.20523,0.205087,0.191616,0.175489
792,R008,Bldg,MYSE.960,MYSE,2015,0,0,81.107856,884.889882,870.43853,12,0,0.54,5.305164771,4.32272685,3.536776513,2.970892271,2.652582384,2.454089826,2.37627172,2.445178824,2.405008029,2.426053311,2.357851009,498.0550917,251.6761286,187.5487173,269.6795239,281.0257259,215.5455211,176.7111432,150.2094377,144.7215391,122.8377796,115.7992469,55.727273,55.75,50.734694,47.181818,46.153153,44.796053,44.61,NA,NA,NA,NA,0.921957,0.891575,0.883331,0.864058,0.811617,0.739131,0.673119,0.618778,0.58195,0.564071,0.555242,0,0,0.000019,0.002396,0.045983,0.121696,0.180734,0.237431,0.292177,0.305991,0.305699,0,0,0,0,0,0,0.006751,0.010212,0.012251,0.013793,0.014972,0.078043,0.108425,0.116651,0.134417,0.154068,0.157097,0.166616,0.164663,0.146271,0.157196,0.159721
